Hello World
initializing gdt
initialized gdt
initializing idt
IDT Entry 0, address_low = 0x1310, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 1, address_low = 0x1320, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 2, address_low = 0x1330, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 3, address_low = 0x1340, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 4, address_low = 0x1350, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 5, address_low = 0x1360, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 6, address_low = 0x1370, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 7, address_low = 0x1380, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 8, address_low = 0x1390, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 9, address_low = 0x13A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 10, address_low = 0x13B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 11, address_low = 0x13C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 12, address_low = 0x13D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 13, address_low = 0x13E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 14, address_low = 0x13F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 15, address_low = 0x1400, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 16, address_low = 0x1410, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 17, address_low = 0x1420, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 18, address_low = 0x1430, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 19, address_low = 0x1440, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 20, address_low = 0x1450, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 21, address_low = 0x1460, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 22, address_low = 0x1470, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 23, address_low = 0x1480, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 24, address_low = 0x1490, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 25, address_low = 0x14A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 26, address_low = 0x14B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 27, address_low = 0x14C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 28, address_low = 0x14D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 29, address_low = 0x14E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 30, address_low = 0x14F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 31, address_low = 0x1500, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 32, address_low = 0x1510, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 33, address_low = 0x1520, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 34, address_low = 0x1530, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 35, address_low = 0x1540, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 36, address_low = 0x1550, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 37, address_low = 0x1560, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 38, address_low = 0x1570, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 39, address_low = 0x1580, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 40, address_low = 0x1590, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 41, address_low = 0x15A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 42, address_low = 0x15B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 43, address_low = 0x15C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 44, address_low = 0x15D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 45, address_low = 0x15E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 46, address_low = 0x15F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 47, address_low = 0x1600, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 48, address_low = 0x1610, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 49, address_low = 0x1620, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 50, address_low = 0x1630, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 51, address_low = 0x1640, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 52, address_low = 0x1650, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 53, address_low = 0x1660, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 54, address_low = 0x1670, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 55, address_low = 0x1680, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 56, address_low = 0x1690, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 57, address_low = 0x16A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 58, address_low = 0x16B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 59, address_low = 0x16C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 60, address_low = 0x16D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 61, address_low = 0x16E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 62, address_low = 0x16F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 63, address_low = 0x1700, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 64, address_low = 0x1710, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 65, address_low = 0x1720, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 66, address_low = 0x1730, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 67, address_low = 0x1740, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 68, address_low = 0x1750, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 69, address_low = 0x1760, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 70, address_low = 0x1770, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 71, address_low = 0x1780, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 72, address_low = 0x1790, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 73, address_low = 0x17A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 74, address_low = 0x17B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 75, address_low = 0x17C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 76, address_low = 0x17D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 77, address_low = 0x17E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 78, address_low = 0x17F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 79, address_low = 0x1800, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 80, address_low = 0x1810, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 81, address_low = 0x1820, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 82, address_low = 0x1830, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 83, address_low = 0x1840, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 84, address_low = 0x1850, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 85, address_low = 0x1860, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 86, address_low = 0x1870, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 87, address_low = 0x1880, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 88, address_low = 0x1890, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 89, address_low = 0x18A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 90, address_low = 0x18B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 91, address_low = 0x18C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 92, address_low = 0x18D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 93, address_low = 0x18E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 94, address_low = 0x18F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 95, address_low = 0x1900, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 96, address_low = 0x1910, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 97, address_low = 0x1920, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 98, address_low = 0x1930, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 99, address_low = 0x1940, address_mid = 0x8000, address_high = 0xFFFFFFFF.
